Source,Target
1980_in_video_games,Video_game_clone
1980_in_video_games,Video_game_crash_of_1983
1980_in_video_games,Video_game_genre
1980_in_video_games,Video_game_modding
1980_in_video_games,Video_game_remake
1980_in_video_games,Video_games_in_Australia
1980_in_video_games,Video_games_in_Bangladesh
1980_in_video_games,Video_games_in_Belgium
1980_in_video_games,Video_games_in_Brazil
1980_in_video_games,Video_games_in_Canada
1980_in_video_games,Video_games_in_China
1980_in_video_games,Video_games_in_Colombia
1980_in_video_games,Video_games_in_Finland
1980_in_video_games,Video_games_in_France
1980_in_video_games,Video_games_in_Germany
1980_in_video_games,Video_games_in_Ghana
1980_in_video_games,Video_games_in_Greece
1980_in_video_games,Video_games_in_India
1980_in_video_games,Video_games_in_Indonesia
1980_in_video_games,Video_games_in_Iran
1980_in_video_games,Video_games_in_Ireland
1980_in_video_games,Video_games_in_Italy
1980_in_video_games,Video_games_in_Japan
1980_in_video_games,Video_games_in_Kenya
1980_in_video_games,Video_games_in_Latin_America
1980_in_video_games,Video_games_in_Lithuania
1980_in_video_games,Video_games_in_Malaysia
1980_in_video_games,Video_games_in_New_Zealand
1980_in_video_games,Video_games_in_Nigeria
1980_in_video_games,Video_games_in_North_Korea
1980_in_video_games,Video_games_in_Norway
1980_in_video_games,Video_games_in_Poland
1980_in_video_games,Video_games_in_Russia
1980_in_video_games,Video_games_in_South_Africa
1980_in_video_games,Video_games_in_South_Korea
1980_in_video_games,Video_games_in_Spain
1980_in_video_games,Video_games_in_Sweden
1980_in_video_games,Video_games_in_Switzerland
1980_in_video_games,Video_games_in_Taiwan
1980_in_video_games,Video_games_in_Thailand
1980_in_video_games,Video_games_in_Turkey
1980_in_video_games,Video_games_in_Ukraine
1980_in_video_games,Video_games_in_the_Czech_Republic
1980_in_video_games,Video_games_in_the_Netherlands
1980_in_video_games,Video_games_in_the_Philippines
1980_in_video_games,Video_games_in_the_United_Kingdom
1980_in_video_games,Video_games_in_the_United_States
1980_in_video_games,Video_gaming_in_the_United_States
1980_in_video_games,Virtual_pet
1980_in_video_games,Visual_novel
1980_in_video_games,Walking_simulator
1980_in_video_games,Warner_Books
1980_in_video_games,Wayback_Machine
1980_in_video_games,Wizard_of_Wor
1980_in_video_games,Yars%27_Revenge
1980_in_video_games,Zork
1980_in_video_games,Zork_I
1983_video_game_crash,10NES
1983_video_game_crash,1970_in_video_games
1983_video_game_crash,1970s_in_video_games
1983_video_game_crash,1971_in_video_games
1983_video_game_crash,1972_in_video_games
1983_video_game_crash,1973_in_video_games
1983_video_game_crash,1974_in_video_games
1983_video_game_crash,1975_in_video_games
1983_video_game_crash,1976_in_video_games
1983_video_game_crash,1977_in_video_games
1983_video_game_crash,1978_in_video_games
1983_video_game_crash,1979_in_video_games
1983_video_game_crash,1980_in_video_games
1983_video_game_crash,1980s_in_video_games
1983_video_game_crash,1981_in_video_games
1983_video_game_crash,1982_in_video_games
1983_video_game_crash,1983_in_video_games
1983_video_game_crash,1984_in_video_games
1983_video_game_crash,1985_in_video_games
1983_video_game_crash,1986_in_video_games
1983_video_game_crash,1987_in_video_games
1983_video_game_crash,1988_in_video_games
1983_video_game_crash,1989_in_video_games
1983_video_game_crash,1990_in_video_games
1983_video_game_crash,1990s_in_video_games
1983_video_game_crash,1991_in_video_games
1983_video_game_crash,1992_in_video_games
1983_video_game_crash,1993_in_video_games
1983_video_game_crash,1994_in_video_games
1983_video_game_crash,1995_in_video_games
1983_video_game_crash,1996_in_video_games
1983_video_game_crash,1997_in_video_games
1983_video_game_crash,1998_in_video_games
1983_video_game_crash,1999_in_video_games
1983_video_game_crash,2000_in_video_games
1983_video_game_crash,2000s_in_video_games
1983_video_game_crash,2001_in_video_games
1983_video_game_crash,2002_in_video_games
1983_video_game_crash,2003_in_video_games
1983_video_game_crash,2004_in_video_games
1983_video_game_crash,2005_in_video_games
1983_video_game_crash,2006_in_video_games
1983_video_game_crash,2007_in_video_games
1983_video_game_crash,2008_in_video_games
1983_video_game_crash,2009_in_video_games
1983_video_game_crash,2010_in_video_games
1983_video_game_crash,2010s_in_video_games
1983_video_game_crash,2011_in_video_games
1983_video_game_crash,2012_in_video_games
1983_video_game_crash,2013_in_video_games
1983_video_game_crash,2014_in_video_games
1983_video_game_crash,2015_in_video_games
1983_video_game_crash,2016_in_video_games
1983_video_game_crash,2017_in_video_games
1983_video_game_crash,2018_in_video_games
1983_video_game_crash,2019_in_video_games
1983_video_game_crash,2020_in_video_games
1983_video_game_crash,2020s_in_video_games
1983_video_game_crash,2021_in_video_games
1983_video_game_crash,2022%E2%80%932025_video_game_industry_layoffs
1983_video_game_crash,2022_in_video_games
1983_video_game_crash,2023_in_video_games
1983_video_game_crash,2024_in_video_games
1983_video_game_crash,2025_in_video_games
1983_video_game_crash,2026_in_video_games
1983_video_game_crash,20th_Century_Fox
