page_name,categories
Broadcasting_of_sports_events,"{'Sports journalism', 'Sports events', 'Broadcasting', 'Sport websites', 'History of television', 'Broadcast law', 'Sports television', 'Sports radio'}"
Bundesliga,"{'Sports leagues established in 1963', 'Bundesliga', ""Men's football leagues in Germany"", 'Top-level football leagues in Europe', 'Professional football leagues in Germany', '1963 establishments in West Germany', 'Deutsche Fußball Liga competitions', 'Organisations based in Frankfurt', 'Professional sports leagues in Germany'}"
Business_Insider,"{'Axel Springer SE', 'American financial news websites', '2007 establishments in New York City', 'Pulitzer Prize for Commentary winners', 'Publications established in 2007', 'Financial services companies established in 2007', 'Internet properties established in 2007'}"
CTVglobemedia,"{'Companies based in Toronto', 'Bell Media', 'Mass media companies established in 1960', 'Television production companies of Canada', 'Canadian brands', 'Canadian companies established in 1960', 'BCE Inc. acquisitions', 'Television broadcasting companies of Canada', 'Radio broadcasting companies of Canada', 'Bell Canada', '1960 establishments in Ontario'}"
Cake_pan,{'Cookware and bakeware'}
Canoe_marathon,"{'Canoeing disciplines', 'Canoeing and kayaking', 'Canoe racing', 'Canoe marathon'}"
Canoe_polo,"{'Team sports', 'Sports originating in the United Kingdom', 'Ball games', 'Polo', 'Canoe polo', 'Canoeing disciplines'}"
Canoeing,"{'Canoeing', 'Summer Olympic sports', 'Canoeing and kayaking'}"
Casting_(fishing),{'Fishing techniques and methods'}
Caving_equipment,{'Caving equipment'}
Center_of_mass,"{'Geometric centers', 'Mass', 'Moment (physics)', 'Classical mechanics'}"
Center_of_pressure_(fluid_mechanics),"{'Geometric centers', 'Aircraft aerodynamics', 'Fluid dynamics', 'Vehicle dynamics'}"
Centimetre,"{'100 (number)', 'Orders of magnitude (length)', 'SI units', 'Units of length', 'Metre', 'Centimetre–gram–second system of units'}"
Challenge_(NFL),"{'Canadian football', 'American football terminology'}"
Champion,"{'Sports champions', 'Terminology used in multiple sports'}"
Cheating,"{'Cheating', 'Morality', 'Sports law', 'Misconduct'}"
Cheerleading,"{'Cheerleading', 'Sports culture', 'Concert dance', 'Sports entertainment'}"
Chemiluminescence,"{'Emission spectroscopy', 'Chemiluminescence', 'Luminescence'}"
Chess,"{'Traditional board games', 'Partially solved games', 'Abstract strategy games', 'Games related to chaturanga', 'Chess', 'Individual sports'}"
Child_development,"{'Developmental psychology', 'Child development', 'Childhood'}"
Childhood,"{'Developmental psychology', 'Kinship and descent', 'Childhood'}"
Coach_(sport),"{'Education and training occupations', 'Management occupations', 'Leadership positions in sports', 'Sports coaches'}"
College_sports,"{'College sports', 'Under-23 sport'}"
Combat_sport,"{'Combat sports', 'Combat', 'Sports by type', 'Individual sports'}"
Competition,"{'Group processes', 'Human behavior', 'Human activities', 'Competition'}"
Competition_climbing,"{'Sports originating in France', 'Summer Olympic sports', 'Sports originating in Italy', 'Climbing competitions', 'Competition climbing', 'Indoor sports', 'Individual sports'}"
Competitive_swimwear,"{'Sportswear', 'Swimming equipment', 'Swimsuits'}"
Concussion,"{'Athletic training', 'Concussions', 'Neurotrauma'}"
Contract_bridge,"{'Multiplayer games', 'French deck card games', 'Card games introduced in 1925', 'Contract bridge', 'Four-player card games', 'Games of mental skill'}"
Council_of_Europe,"{'Politics of Europe', 'Council of Europe', 'International organizations based in Europe', 'Councils', 'United Nations General Assembly observers', 'International organisations based in France', 'Organisations based in Strasbourg', '1949 establishments in England', 'Organizations established in 1949'}"
Crime,"{'Criminology', 'Criminal law', 'Morality', 'Crime'}"
Croke_Park,"{'National stadiums', 'Ireland national rugby union team', 'Drumcondra, Dublin', '1913 establishments in Ireland', 'Gaelic games grounds in the Republic of Ireland', 'Sports venues in Dublin (city)', 'American football venues in the Republic of Ireland', 'Sports venues completed in 1913', 'Museums in Dublin (city)', 'Sports museums', 'American Bowl venues', 'Venues of the United Rugby Championships', 'Republic of Ireland national football team home stadiums', 'Croke Park'}"
Cue_sports,"{'Sports entertainment', 'Cue sports', 'French inventions'}"
Cultural_nationalism,"{'Nationalism', 'Culture'}"
Cycle_ball,"{'Team sports', 'Games and sports introduced in the 1890s', 'Cycle sport', 'Association football variants'}"
Cycling,"{'Sustainable transport', 'Symbols of Illinois', 'Aerobic exercise', 'Cycling', 'Emissions reduction'}"
Dancesport,"{'Dancesport', 'Ballroom dance'}"
De_spectaculis,"{'Gladiatorial combat', 'Philosophy essays', 'Ethics books', 'Essays about culture', '3rd-century books in Latin', 'Christianity in the Roman Empire', 'Works by Tertullian', '2nd-century books in Latin'}"
Dexterity,"{'Aptitude', 'Motor control', 'Motor skills'}"
Diameter,"{'Elementary geometry', 'Circles', 'Length'}"
Disability,"{'Urban design', 'Transportation planning', 'Accessibility', 'Disability', 'Urban planning', 'Social concepts'}"
Disabled_sports,"{'Parasports', 'Sports by type'}"
Disc_dog,"{'Flying disc games', 'Disc dogs'}"
Disc_golf,"{'Sports originating in the United States', 'Throwing sports', 'Flying disc games', 'Disc golf', 'Forms of golf', 'Sports originating in Canada', 'Individual sports'}"
Discobolos,"{'Ancient Greek bronze statues of the classical period', 'Archaeological discoveries in Italy', '1790 archaeological discoveries', 'Nude sculptures of men', 'Townley collection', '1781 archaeological discoveries', 'Roman copies of 5th-century BC Greek sculptures', 'Collection of the Museo Nazionale Romano', 'Sports sculptures', 'Ancient Greek athletic art', 'Sculptures in the Vatican Museums'}"
Discourse_on_Voluntary_Servitude,"{'Works about anarchism', '1576 in literature', 'Philosophy essays', 'French essays'}"
Discraft,"{'Ultimate (sport) organizations', 'Sporting goods manufacturers of the United States', 'Disc golf equipment manufacturers'}"
Discus,"{'Athletic culture based on Greek antiquity', 'Throwing sports', 'Ancient Olympic sports', 'Events in track and field', 'Summer Olympic disciplines in athletics', 'Discus throw'}"
Diving_(sport),"{'Diving (sport)', 'Acrobatic sports', 'Summer Olympic sports', 'Jumping sports', 'Aquatics'}"
